iter	Passed	Remaining
673	909	439
674	910	438
675	911	437
676	913	435
677	914	434
678	916	433
679	917	431
680	918	430
681	920	428
682	921	427
683	922	426
684	923	424
685	924	423
686	926	422
687	928	420
688	929	419
689	930	418
690	931	416
691	933	415
692	934	414
693	936	412
694	937	411
695	938	410
696	940	408
697	941	407
698	943	406
699	944	404
700	945	403
701	946	401
702	947	400
703	949	399
704	951	398
705	952	396
706	953	395
707	954	393
708	956	392
709	957	390
710	958	389
711	959	388
712	960	386
713	962	385
714	964	384
715	966	383
716	968	382
717	969	380
718	970	379
719	971	377
720	972	376
721	973	375
722	975	373
723	977	372
724	979	371
725	980	370
726	981	368
727	983	367
728	984	365
729	985	364
730	986	363
731	987	361
732	989	360
733	990	359
734	992	357
735	994	356
736	995	355
737	996	353
738	997	352
739	999	351
740	1000	349
741	1001	348
742	1002	346
743	1003	345
744	1005	344
745	1006	342
746	1008	341
747	1009	340
748	1011	338
749	1012	337
750	1014	336
751	1015	334
752	1016	333
753	1017	332
754	1019	330
755	1021	329
756	1023	328
757	1024	327
758	1025	325
759	1027	324
760	1028	323
761	1029	321
762	1030	320
763	1032	318
764	1033	317
765	1035	316
766	1037	315
767	1038	313
768	1039	312
769	1040	310
770	1042	309
771	1043	308
772	1044	306
773	1046	305
774	1047	304
775	1049	302
776	1051	301
777	1053	300
778	1054	299
779	1055	297
780	1056	296
781	1058	294
782	1059	293
783	1060	292
784	1063	291
785	1064	289
786	1066	288
787	1067	287
788	1068	285
789	1070	284
790	1071	283
791	1072	281
792	1073	280
793	1075	279
794	1077	277
795	1078	276
796	1080	275
797	1081	273
798	1082	272
799	1083	270
800	1085	269
801	1086	268
802	1088	266
803	1089	265
804	1090	264
805	1091	262
806	1093	261
807	1094	260
808	1095	258
809	1097	257
810	1098	255
811	1099	254
812	1101	253
813	1102	251
814	1103	250
815	1104	249
816	1105	247
817	1107	246
818	1108	245
819	1110	243
820	1111	242
821	1112	240
822	1113	239
823	1114	238
824	1116	236
825	1117	235
826	1118	233
827	1120	232
828	1121	231
829	1123	230
830	1125	228
831	1126	227
832	1127	226
833	1128	224
834	1130	223
835	1131	221
836	1132	220
837	1133	219
838	1135	217
839	1137	216
840	1138	215
841	1140	213
842	1141	212
